tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt8003328	tvEpisode	Episode #1.65	Episode #1.65	0	1978	\N	60	Drama
tt8003330	tvEpisode	Episode #1.64	Episode #1.64	0	1978	\N	60	Drama
tt8003332	tvEpisode	Episode #1.66	Episode #1.66	0	1978	\N	60	Drama
tt8003334	short	Zoo Exodus	Zoo Exodus	0	\N	\N	34	Adventure,Drama,Romance
tt8003336	tvEpisode	Episode #1.67	Episode #1.67	0	1978	\N	60	Drama
tt8003338	tvEpisode	Episode #1.68	Episode #1.68	0	1978	\N	60	Drama
tt8003340	tvEpisode	Episode #5.5	Episode #5.5	0	2018	\N	47	News,Talk-Show
tt8003342	tvEpisode	Episode #1.69	Episode #1.69	0	1978	\N	60	Drama
tt8003344	tvEpisode	Episode #1.70	Episode #1.70	0	1978	\N	60	Drama
tt8003346	tvEpisode	Episode #1.71	Episode #1.71	0	1978	\N	60	Drama
tt8003348	tvEpisode	Episode #5.6	Episode #5.6	0	2018	\N	47	News,Talk-Show
tt8003350	tvEpisode	Episode #1.72	Episode #1.72	0	1978	\N	60	Drama
tt8003352	tvEpisode	Episode #1.73	Episode #1.73	0	1978	\N	60	Drama
tt8003354	tvEpisode	Episode #1.74	Episode #1.74	0	1978	\N	60	Drama
tt8003356	tvEpisode	Episode #1.75	Episode #1.75	0	1978	\N	60	Drama
tt8003358	tvEpisode	Episode #1.76	Episode #1.76	0	1978	\N	60	Drama
tt8003360	tvEpisode	Episode #1.78	Episode #1.78	0	1978	\N	60	Drama
tt8003362	tvEpisode	Episode #1.77	Episode #1.77	0	1978	\N	60	Drama
tt8003364	tvEpisode	Episode #1.79	Episode #1.79	0	1978	\N	60	Drama
tt8003366	tvEpisode	Episode #1.80	Episode #1.80	0	1978	\N	60	Drama
tt8003368	movie	Wonka: A Dark Fantastical Story	Wonka: A Dark Fantastical Story	0	\N	\N	\N	Drama,Family,Fantasy
tt8003370	tvEpisode	Neon Dreams Abandoned Mall	Neon Dreams Abandoned Mall	0	2015	\N	23	Documentary
tt8003372	tvEpisode	Episode #1.101	Episode #1.101	0	2000	\N	22	\N
tt8003374	tvEpisode	Episode #1.103	Episode #1.103	0	2000	\N	22	\N
tt8003376	tvEpisode	Episode #1.102	Episode #1.102	0	2000	\N	22	\N
tt8003378	tvEpisode	Episode #1.104	Episode #1.104	0	2000	\N	22	\N
tt8003380	tvEpisode	Episode #1.105	Episode #1.105	0	2000	\N	22	\N
tt8003382	tvEpisode	Episode #1.106	Episode #1.106	0	2000	\N	22	\N
tt8003384	tvEpisode	Episode #1.107	Episode #1.107	0	2000	\N	22	\N
tt8003386	tvEpisode	Episode #1.108	Episode #1.108	0	2000	\N	22	\N
tt8003388	tvEpisode	Episode #1.109	Episode #1.109	0	2000	\N	22	\N
tt8003390	tvEpisode	Episode #1.110	Episode #1.110	0	2000	\N	22	\N
tt8003392	tvEpisode	Episode #1.111	Episode #1.111	0	2000	\N	22	\N
tt8003394	tvEpisode	Episode #1.112	Episode #1.112	0	2000	\N	22	\N
tt8003396	tvEpisode	Episode #1.113	Episode #1.113	0	2000	\N	22	\N
tt8003398	tvEpisode	Episode #1.114	Episode #1.114	0	2000	\N	22	\N
tt8003400	tvEpisode	Episode #1.116	Episode #1.116	0	2000	\N	22	\N
tt8003402	tvEpisode	Episode #1.115	Episode #1.115	0	2000	\N	22	\N
tt8003404	tvEpisode	Episode #1.117	Episode #1.117	0	2000	\N	22	\N
tt8003406	tvEpisode	Episode #1.118	Episode #1.118	0	2000	\N	22	\N
tt8003408	tvEpisode	Episode #1.119	Episode #1.119	0	2000	\N	22	\N
